#separator:tab
#html:false
【国121】委身	置身，寄身
【国248】创	[chuàng] 惩治，警戒       有一不善，从而罚之，又从而哀矜惩创之
【国249】谕	明白，理解
【国250】喻	明白，理解       君子喻于义，小人喻于利                 晓喻，开导       今略举大端，以喻吏民
【国251】货殖	经商营利       祖世货殖。《晋书·郭舒传》                 商人       山西河南货殖。《史记·货殖列传》
【国252】怙	[hù] 依靠，依仗       无父何怙？ 无母何恃？                 [hù] 指父亲
【国253】悛	[quàn] 改，悔改       过而不悛，亡之本也                 [quàn] 停止       病悛
【国254】赀	[zī] 计算       不可赀计                 [zī] 通“资”钱财
【国258】雅	平日，向来       宪王雅不以之为子数                 交往       况与左右无一日之雅                 非常       扬州刺史雅重之
【国255】行在	即“行在所”皇帝所在的地方，后专指皇帝行幸所至之地
【国256】罹	遭遇       罹难                 忧患，苦难       我生之后，逢此百罹
【国257】籍甚	名声大       公卿贵其籍甚，搢绅羡其登仙                 因名声大振而为人所知
【国258】不偶	不遇，不合       荆轲入秦之计，本欲劫秦王生致于燕，邂逅不偶，为秦所擒                 不幸，不好       哀哉命不偶
【国259】辄	[zhé] 总是       裹疵常辄闻而先言于魏王                 [zhé] 立即，就       吏民上书，字或不正，辄举劾                 [zhé] 连词，表轻微转折，却       新与魏皆取汉者，新辄败亡
【国260】蹶	跌倒，绊倒       人之情不蹶于山                 挫败，失败，使挫败       侯王无以为贵高将恐蹶                 颠覆，灭亡       贤能遁逃国乃（
【国261】缓	宽弘       吏务为严峻，而禹治加缓                 怠慢       缓贤忘士而能以其国存者，未曾有也                 迟缓，延缓
【国262】偪 bī臣，倖 xìng臣	佞臣，宠臣
【国263】弗弗	风急速的样子                        正直敢谏的样子
【国264】谔谔	直言争辩的样子
【国265】梓宫	皇帝或皇后的棺材
【国266】擿	[tì] 挑，揭发       善政事，好发擿奸伏                 [tì] 指使
【国267】论次	评定编次
【国268】丈人	对年长人的尊称                        丈夫                        岳父
